returnTD,defTD,safeties,teamID,fumbleRecoveries,ptsAgainst,teamAbv,interceptions,sacks,blockKick,fantasyPointsDefault,week
0,0.1,0.1,29,0.4,25.3,SEA,0.7,2.1,0.0,7.1,9
0,0.1,0.1,30,0.5,21.3,TB,0.7,2.3,0.1,7.6,9
0,0.1,0.1,31,0.5,20,TEN,0.8,2.4,0.1,9.9,9
0,0.1,0.1,32,0.5,21.8,WSH,0.7,2.5,0.1,7.8,9
0,0,0,10,0,0,DEN,0,0,0,10.0,9
0,0,0,11,0,0,DET,0,0,0,10.0,9
0.1,0.2,0.1,12,0.5,17,GB,0.7,2.3,0.1,10.8,9
0,0.1,0.1,13,0.6,18.8,HOU,0.7,2.3,0.1,9.8,9
0,0.2,0.1,14,0.5,23,IND,0.7,2.3,0.1,8.2,9
0,0,0,15,0,0,JAX,0,0,0,10.0,9
0.1,0.1,0.1,16,0.4,24.8,KC,0.6,1.8,0.0,7.2,9
0,0.1,0.1,17,0.6,18.5,LV,0.7,2.4,0.1,9.9,9
0,0.1,0.1,18,0.6,20,LAC,0.7,2.5,0.1,10.0,9
0,0.1,0.1,19,0.6,21,LAR,0.7,2.4,0.1,7.9,9
0,0.1,0.1,1,0.5,25.5,ARI,0.6,2.1,0.1,7.2,9
0,0.1,0.1,2,0.6,17.8,ATL,0.8,2.8,0.1,10.5,9
0.1,0.1,0.1,3,0.5,18.8,BAL,0.8,2.3,0.1,10.4,9
0,0.2,0.1,4,0.5,26,BUF,0.7,2.1,0.0,7.9,9
0,0.1,0.1,5,0.5,22,CAR,0.6,2.3,0.1,7.4,9
0,0.1,0.1,6,0.5,25.8,CHI,0.7,2.2,0.1,7.5,9
0,0.1,0.1,7,0.5,24.5,CIN,0.7,2.2,0.1,7.5,9
0,0.1,0.1,8,0.6,12.5,CLE,0.8,2.7,0.1,12.4,9
0,0.1,0.1,9,0.4,24.8,DAL,0.7,2.0,0.0,7.0,9
0,0.1,0.0,20,0.4,26.3,MIA,0.6,1.8,0.0,6.4,9
0,0.1,0.1,21,0.5,20.3,MIN,0.7,2.2,0.1,9.5,9
0.1,0.1,0.1,22,0.5,22.3,NE,0.7,2.2,0.1,8.1,10
0,0.1,0.1,23,0.6,19.5,NO,0.8,2.5,0.1,10.2,10
0,0.1,0.1,24,0.4,28.3,NYG,0.5,1.8,0.0,2.4,10
0,0.1,0.1,25,0.6,21.5,NYJ,0.9,2.9,0.1,8.8,10
0,0.1,0.1,26,0.6,17.8,PIT,0.9,2.9,0.1,10.8,10
0,0,0,27,0,0,PHI,0,0,0,10.0,10
0,0.1,0.1,28,0.5,20.8,SF,0.8,2.4,0.0,9.8,10
0,0.1,0.1,29,0.5,19,SEA,0.8,2.7,0.1,10.2,10
0,0.1,0.1,30,0.6,18.8,TB,0.8,2.6,0.1,10.3,10
0,0.1,0.1,31,0.5,19.8,TEN,0.7,2.3,0.1,9.6,10
0,0.1,0.1,32,0.5,25,WSH,0.7,2.2,0.1,7.5,10
0,0.1,0.1,10,0.4,27.5,DEN,0.6,1.8,0.0,6.6,10
0,0.1,0.1,11,0.5,23.5,DET,0.6,2.1,0.1,7.2,10
0.1,0.2,0.1,12,0.5,20.8,GB,0.7,2.2,0.0,10.6,10
0,0.1,0.1,13,0.5,25.5,HOU,0.6,1.9,0.1,7.0,10
0,0.1,0.1,14,0.5,21.3,IND,0.7,2.3,0.1,7.6,10
0,0.1,0.1,15,0.5,23.8,JAX,0.6,2.1,0.1,7.2,10
0,0,0,16,0,0,KC,0,0,0,10.0,10
0,0.1,0.1,17,0.6,24,LV,0.7,2.4,0.1,7.9,10
0,0.1,0.1,18,0.5,25,LAC,0.6,2.1,0.1,7.2,10
0,0,0,19,0,0,LAR,0,0,0,10.0,10
0,0.1,0.1,1,0.5,22,ARI,0.6,2.1,0.1,7.2,10
0,0.1,0.1,2,0.5,20.5,ATL,0.7,2.4,0.1,9.7,10
0.1,0.1,0.1,3,0.6,16.5,BAL,0.9,2.7,0.1,11.2,10
0,0.2,0.1,4,0.6,20,BUF,0.9,2.8,0.1,11.3,10
0,0.1,0.1,5,0.6,20.8,CAR,0.8,2.7,0.1,10.4,10
0,0.2,0.1,6,0.6,17.3,CHI,0.8,2.6,0.1,10.9,10
0,0.1,0.1,7,0.5,20,CIN,0.8,2.4,0.1,9.9,10
0,0.1,0.1,8,0.5,22,CLE,0.7,2.3,0.1,7.6,10
0,0.2,0.1,9,0.6,10.8,DAL,1.0,2.8,0.1,13.5,10
0,0,0,20,0,0,MIA,0,0,0,10.0,10
0,0.1,0.1,21,0.5,22,MIN,0.7,2.3,0.1,7.6,10
0,0,0,22,0,0,NE,0,0,0,10.0,11
0,0,0,23,0,0,NO,0,0,0,10.0,11
0,0.1,0.1,24,0.5,23,NYG,0.7,2.1,0.0,7.3,11
0,0.1,0.0,25,0.5,23.8,NYJ,0.7,2.4,0.0,7.4,11
0,0.1,0.1,26,0.6,17,PIT,0.9,3.0,0.1,10.9,11
0,0.1,0.0,27,0.4,24.3,PHI,0.6,1.9,0.0,6.5,11
0,0.2,0.1,28,0.6,15,SF,0.9,2.8,0.1,11.3,11
